Ex/EFF Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
12/15/2000,Cash,0.41,,12/19/2000,1/31/2001
9/15/2000,Cash,0.38,,9/19/2000,10/31/2000
6/16/2000,Cash,0.35,,6/20/2000,7/31/2000
3/17/2000,Cash,0.37,,3/21/2000,4/28/2000
12/17/1999,Cash,0.35,,12/21/1999,1/31/2000
9/17/1999,Cash,0.37,,9/21/1999,10/29/1999
6/18/1999,Cash,0.40,,6/22/1999,7/30/1999
3/19/1999,Cash,0.32,3/8/1999,3/23/1999,4/30/1999
12/18/1998,Cash,0.39,,12/22/1998,1/29/1999
9/18/1998,Cash,0.36,,9/22/1998,10/30/1998
6/19/1998,Cash,0.35,,6/23/1998,7/31/1998
3/20/1998,Cash,0.31,,3/24/1998,4/30/1998
12/19/1997,Cash,0.38,,12/23/1997,1/31/1998
9/19/1997,Cash,0.35,,9/23/1997,10/31/1997
6/20/1997,Cash,0.35,,6/24/1997,7/31/1997
3/21/1997,Cash,0.30,,3/25/1997,4/30/1997
12/20/1996,Cash,0.37,,12/24/1996,1/31/1997
9/20/1996,Cash,0.35,,9/24/1996,10/31/1996
6/21/1996,Cash,0.35,,6/25/1996,7/31/1996
3/15/1996,Cash,0.29,,3/19/1996,4/30/1996
12/15/1995,Cash,0.38,,12/19/1995,1/31/1996
9/15/1995,Cash,0.31,,9/19/1995,10/31/1995
6/16/1995,Cash,0.32,,6/20/1995,7/31/1995
