Date,Close,High,Low,Open,Adj Close,Volume
1/29/1993,43.9375,43.96875,43.75,43.96875,24.763741,1003200
2/1/1993,44.25,44.25,43.96875,43.96875,24.939857,480500
2/2/1993,44.34375,44.375,44.125,44.21875,24.992702,201300
2/3/1993,44.8125,44.84375,44.375,44.40625,25.256891,529400
2/4/1993,45,45.09375,44.46875,44.96875,25.362583,531500
2/5/1993,44.96875,45.0625,44.71875,44.96875,25.344959,492100
2/8/1993,44.96875,45.125,44.90625,44.96875,25.344959,596100
2/9/1993,44.65625,44.8125,44.5625,44.8125,25.168839,122100
2/10/1993,44.71875,44.75,44.53125,44.65625,25.204071,379600
2/11/1993,44.9375,45.125,44.78125,44.78125,25.327347,19500
2/12/1993,44.59375,44.875,44.59375,44.875,25.133612,42500
2/16/1993,43.46875,44.46875,43.40625,44.46875,24.499542,374800
2/17/1993,43.4375,43.53125,43.28125,43.46875,24.481936,210900
2/18/1993,43.40625,43.9375,42.8125,43.9375,24.464323,378100
2/19/1993,43.5625,43.5625,43.34375,43.40625,24.552383,34900
2/22/1993,43.71875,43.78125,43.5625,43.6875,24.640461,513600
2/23/1993,43.6875,43.875,43.46875,43.84375,24.622822,373700
2/24/1993,44.25,44.25,43.71875,43.71875,24.939857,26300
2/25/1993,44.34375,44.375,44.125,44.21875,24.992702,44500
2/26/1993,44.40625,44.4375,44.1875,44.4375,25.027922,66200
3/1/1993,44.28125,44.5625,44.21875,44.5625,24.957489,66500
3/2/1993,44.9375,44.9375,44.25,44.3125,25.327347,182400
3/3/1993,45.125,45.15625,44.9375,45,25.433031,280100
3/4/1993,44.875,45.1875,44.875,45.1875,25.292122,89500
3/5/1993,44.75,45.125,44.71875,44.9375,25.221678,40000
3/8/1993,45.75,45.75,44.84375,44.84375,25.785271,50800
3/9/1993,45.59375,45.6875,45.5,45.65625,25.697233,169300
3/10/1993,45.6875,45.6875,45.40625,45.59375,25.750057,194400
3/11/1993,45.5625,45.84375,45.5,45.71875,25.679598,70900
3/12/1993,45.09375,45.21875,44.8125,45.1875,25.415409,643600
3/15/1993,45.3125,45.3125,45.0625,45.0625,25.5387,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,25.5387,30800
3/17/1993,45.03125,45.25,44.96875,45.25,25.380192,21800
3/18/1993,45.3125,45.5,45.21875,45.21875,25.5387,59300
3/19/1993,45.03125,45.28125,45.03125,45.28125,25.500057,66900
3/22/1993,44.78125,44.875,44.5625,44.59375,25.358475,183400
3/23/1993,44.875,44.9375,44.8125,44.90625,25.411575,55200
3/24/1993,44.875,45.0625,44.59375,44.8125,25.411575,37200
3/25/1993,45.15625,45.25,44.84375,44.90625,25.570829,110100
3/26/1993,44.90625,45.15625,44.875,45.125,25.42927,101500
3/29/1993,45.09375,45.3125,44.9375,44.9375,25.535444,87100
3/30/1993,45.21875,45.21875,45.09375,45.15625,25.606218,56000
3/31/1993,45.1875,45.46875,45.1875,45.34375,25.588541,111600
4/1/1993,45.03125,45.25,44.9375,45.25,25.500057,129500
4/2/1993,44.09375,44.65625,44.09375,44.65625,24.96917,59400
4/5/1993,44.3125,44.4375,44.1875,44.4375,25.093048,172200
4/6/1993,44.1875,44.40625,44.0625,44.40625,25.02227,129700
4/7/1993,44.34375,44.34375,44.15625,44.25,25.110735,28000
4/8/1993,44.28125,44.53125,44.09375,44.53125,25.075354,180800
4/12/1993,44.90625,44.9375,44.65625,44.71875,25.42927,348500
4/13/1993,45,45.15625,44.84375,44.875,25.482359,146100
4/14/1993,44.9375,45.0625,44.90625,45.03125,25.446962,119600
4/15/1993,44.9375,45.03125,44.75,44.90625,25.446962,148600
4/16/1993,44.9375,45.03125,44.875,44.96875,25.446962,47900
4/19/1993,44.75,45.0625,44.71875,44.9375,25.340797,157000
4/20/1993,44.53125,44.75,44.25,44.6875,25.216917,279500
4/21/1993,44.5,44.625,44.375,44.625,25.199221,67900
4/22/1993,43.9375,44.6875,43.9375,44.3125,24.880703,97700
4/23/1993,43.75,43.96875,43.6875,43.84375,24.774519,106000
4/26/1993,43.40625,43.9375,43.28125,43.78125,24.57987,62600
4/27/1993,43.875,43.875,43.34375,43.34375,24.845306,156800
4/28/1993,43.78125,43.90625,43.71875,43.8125,24.792194,85900
4/29/1993,43.96875,43.96875,43.625,43.875,24.89839,85000
4/30/1993,44.03125,44.28125,44.03125,44.125,24.933784,88500
5/3/1993,44.3125,44.3125,43.90625,44.09375,25.093048,80500
5/4/1993,44.46875,44.625,44.34375,44.40625,25.18152,149100
5/5/1993,44.59375,44.75,44.46875,44.46875,25.252323,109000
5/6/1993,44.4375,44.5625,44.40625,44.53125,25.163837,54700
5/7/1993,44.34375,44.46875,44.28125,44.46875,25.110735,68000
5/10/1993,44.4375,44.6875,44.40625,44.40625,25.163837,113900
5/11/1993,44.625,44.625,44.3125,44.4375,25.27001,42600
5/12/1993,44.5625,44.59375,44.4375,44.4375,25.234604,31000
5/13/1993,44.03125,44.375,44,44.375,24.933784,129100
5/14/1993,44,44.15625,43.96875,44.03125,24.91608,63500
5/17/1993,44.15625,44.15625,43.9375,44.125,25.004559,34000
5/18/1993,44.125,44.21875,43.96875,44.1875,24.986876,105200
5/19/1993,45.03125,45.03125,43.84375,44.125,25.500057,50200
5/20/1993,45.15625,45.15625,44.9375,45.03125,25.570829,98200
5/21/1993,44.75,45.25,44.71875,45.1875,25.340797,221400
5/24/1993,44.9375,45.09375,44.84375,44.84375,25.446962,30500
5/25/1993,45.03125,45.125,45.03125,45.125,25.500057,191800
5/26/1993,45.59375,45.625,45.125,45.15625,25.81859,102400
5/27/1993,45.4375,45.65625,45.375,45.65625,25.730108,53800
5/28/1993,45.21875,45.40625,45,45.40625,25.606218,79100
6/1/1993,45.65625,45.8125,45.3125,45.375,25.853981,28300
6/2/1993,45.59375,45.75,45.34375,45.53125,25.81859,20300
6/3/1993,45.4375,45.5,45.34375,45.5,25.730108,21600
6/4/1993,45.28125,45.3125,45.09375,45.3125,25.641615,32000
6/7/1993,45.125,45.375,45.125,45.375,25.553135,121400
6/8/1993,44.71875,45,44.71875,45,25.323105,104500
6/9/1993,44.875,45.0625,44.8125,44.875,25.411575,43300
6/10/1993,44.90625,44.9375,44.75,44.84375,25.42927,17900
6/11/1993,45.09375,45.15625,44.90625,45.0625,25.535444,647400
6/14/1993,45.03125,45.1875,45.03125,45.15625,25.500057,64200
6/15/1993,44.9375,45.125,44.9375,45.09375,25.446962,142400
6/16/1993,45.03125,45.03125,44.8125,44.9375,25.500057,330900
6/17/1993,45.1875,45.1875,45.03125,45.125,25.588541,37400
