Ex/EFF Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
3/23/2016,Cash,0.90 ,3/22/2016,3/28/2016,3/30/2016
12/24/2015,Cash,0.96 ,12/23/2015,12/29/2015,12/31/2015
9/25/2015,Cash,0.67 ,9/24/2015,9/29/2015,10/1/2015
6/24/2015,Cash,0.66 ,6/23/2015,6/26/2015,6/30/2015
3/25/2015,Cash,0.66 ,3/24/2015,3/27/2015,3/31/2015
12/24/2014,Cash,0.81 ,12/23/2014,12/29/2014,12/31/2014
9/24/2014,Cash,0.63 ,9/23/2014,9/26/2014,9/30/2014
6/24/2014,Cash,0.60 ,6/23/2014,6/26/2014,6/30/2014
3/25/2014,Cash,0.77 ,3/24/2014,3/27/2014,3/31/2014
12/23/2013,Cash,0.59 ,12/20/2013,12/26/2013,12/30/2013
9/24/2013,Cash,0.60 ,9/23/2013,9/26/2013,9/30/2013
6/26/2013,Cash,0.61 ,6/25/2013,6/28/2013,7/2/2013
3/25/2013,Cash,0.58 ,3/22/2013,3/27/2013,4/1/2013
12/19/2012,Cash,0.79 ,12/18/2012,12/21/2012,12/26/2012
9/25/2012,Cash,0.52 ,9/24/2012,9/27/2012,10/1/2012
6/19/2012,Cash,0.55 ,6/18/2012,6/21/2012,6/25/2012
3/26/2012,Cash,0.53 ,3/23/2012,3/28/2012,3/30/2012
12/22/2011,Cash,0.59 ,12/21/2011,12/27/2011,12/29/2011
9/23/2011,Cash,0.55 ,9/22/2011,9/27/2011,9/29/2011
6/24/2011,Cash,0.54 ,6/23/2011,6/28/2011,6/30/2011
3/25/2011,Cash,0.50 ,3/24/2011,3/29/2011,3/31/2011
12/22/2010,Cash,0.59 ,12/21/2010,12/27/2010,12/29/2010
9/23/2010,Cash,0.46 ,9/22/2010,9/27/2010,9/29/2010
6/24/2010,Cash,0.43 ,6/23/2010,6/28/2010,6/30/2010
3/25/2010,Cash,0.49 ,3/24/2010,3/29/2010,3/31/2010
12/23/2009,Cash,0.50 ,12/22/2009,12/28/2009,12/30/2009
9/22/2009,Cash,0.39 ,9/21/2009,9/24/2009,9/28/2009
6/24/2009,Cash,0.47 ,6/23/2009,6/26/2009,6/30/2009
3/25/2009,Cash,0.57 ,3/24/2009,3/27/2009,3/31/2009
12/23/2008,Cash,0.91 ,12/22/2008,12/26/2008,12/30/2008
9/24/2008,Cash,0.78 ,9/23/2008,9/26/2008,9/30/2008
6/25/2008,Cash,0.64 ,6/24/2008,6/27/2008,6/30/2008
3/25/2008,Cash,0.75 ,3/24/2008,3/27/2008,3/31/2008
12/27/2007,Cash,0.78 ,12/26/2007,12/31/2007,1/3/2008
9/25/2007,Cash,0.69 ,9/24/2007,9/27/2007,10/1/2007
6/28/2007,Cash,0.75 ,6/27/2007,7/2/2007,7/5/2007
3/23/2007,Cash,0.68 ,3/22/2007,3/27/2007,3/29/2007
12/20/2006,Cash,1.09 ,12/19/2006,12/22/2006,12/27/2006
9/26/2006,Cash,0.71 ,,9/28/2006,10/2/2006
6/22/2006,Cash,0.64 ,,6/26/2006,6/28/2006
3/24/2006,Cash,0.45 ,,3/28/2006,3/30/2006
12/22/2005,Cash,0.86 ,,12/27/2005,12/29/2005
9/23/2005,Cash,0.06 ,,9/27/2005,9/29/2005
9/23/2005,Cash,0.60 ,,9/27/2005,9/29/2005
6/20/2005,Cash,0.64 ,,6/22/2005,6/24/2005
3/24/2005,Cash,1.29 ,,3/29/2005,3/31/2005
12/23/2004,Cash,1.29 ,,12/28/2004,12/30/2004
9/24/2004,Cash,1.23 ,,9/28/2004,9/30/2004
6/25/2004,Cash,1.30 ,,6/29/2004,7/1/2004
3/26/2004,Cash,1.38 ,,3/30/2004,4/1/2004
12/12/2003,Cash,1.51 ,,12/16/2003,12/23/2003
9/12/2003,Cash,1.22 ,,9/16/2003,9/23/2003
6/13/2003,Cash,1.24 ,,6/17/2003,6/24/2003
3/7/2003,Cash,0.69 ,,3/11/2003,3/18/2003
12/13/2002,Cash,1.76 ,,12/17/2002,12/23/2002
9/13/2002,Cash,1.16 ,,9/17/2002,9/24/2002
6/14/2002,Cash,1.27 ,,6/18/2002,6/25/2002
3/8/2002,Cash,1.18 ,,3/12/2002,3/19/2002
12/14/2001,Cash,1.18 ,,12/18/2001,12/26/2001
10/1/2001,Cash,1.81 ,,10/3/2001,10/10/2001
6/8/2001,Cash,0.78 ,,6/12/2001,6/19/2001
3/9/2001,Cash,0.22 ,,3/13/2001,3/20/2001
12/20/2000,Cash,0.88 ,,12/22/2000,12/29/2000
10/18/2000,Cash,0.92 ,,10/20/2000,10/27/2000
7/19/2000,Cash,0.63 ,,7/21/2000,7/28/2000
