Date,Close,High,Low,Open,Adj Close,Volume
9/29/2003,102.169998,102.300003,102.099998,102.290001,55.841148,13600
9/30/2003,102.699997,102.739998,102.290001,102.300003,56.130833,62600
10/1/2003,102.650002,102.75,102.599998,102.639999,56.103512,66300
10/2/2003,102.489998,102.650002,102.010002,102.199997,56.015972,68900
10/3/2003,101.75,102.050003,101.699997,102.050003,55.611645,64500
10/6/2003,101.900002,101.989998,101.599998,101.639999,55.69355,28700
10/7/2003,101.550003,101.940002,101.379997,101.940002,55.502254,13000
10/8/2003,101.800003,102.050003,101.279999,101.489998,55.63895,42700
10/9/2003,101.440002,101.5,101.099998,101.389999,55.442142,35900
10/10/2003,102,102.050003,101.68,101.68,55.748192,13500
10/13/2003,101.550003,102.099998,101.550003,102,55.502254,23700
10/14/2003,101.349998,101.589996,101.139999,101.440002,55.392952,54300
10/15/2003,101.099998,101.239998,100.900002,101.18,55.256306,23100
10/16/2003,100.830002,101.550003,100.550003,101.389999,55.108719,62300
10/17/2003,101.309998,101.309998,100.75,101.040001,55.371094,55600
10/20/2003,101.25,101.470001,101.139999,101.139999,55.338318,12900
10/21/2003,101.449997,101.730003,101.389999,101.389999,55.44762,49000
10/22/2003,101.900002,101.949997,101.510002,101.75,55.69355,25400
10/23/2003,101.650002,101.870003,101.650002,101.839996,55.556911,20700
10/24/2003,102.150002,102.150002,101.800003,101.800003,55.830189,28200
10/27/2003,101.949997,102.120003,101.800003,102.040001,55.720886,35400
10/28/2003,102.349998,102.349998,101.800003,101.800003,55.939518,16600
10/29/2003,101.900002,102.099998,101.900002,102.080002,55.69355,71700
10/30/2003,101.900002,101.959999,101.779999,101.790001,55.69355,17300
10/31/2003,101.739998,101.900002,101.400002,101.900002,55.606102,31000
11/3/2003,101.199997,101.419998,101.199997,101.330002,55.506859,56700
11/4/2003,101.400002,101.580002,101.400002,101.449997,55.616524,26900
11/5/2003,101.400002,101.57,101.400002,101.5,55.616524,24600
11/6/2003,100.849998,101.190002,100.849998,101.18,55.314873,78000
11/7/2003,100.900002,100.900002,100.550003,100.690002,55.342312,33400
11/10/2003,101.089996,101.139999,100.910004,101.080002,55.446518,21100
11/11/2003,100.910004,101.199997,100.809998,101.18,55.347824,23700
11/12/2003,101.099998,101.339996,100.809998,101.040001,55.451988,16400
11/13/2003,101.839996,101.910004,101.529999,101.529999,55.857868,25400
11/14/2003,101.919998,102.160004,101.889999,101.919998,55.901714,18800
11/17/2003,102.349998,102.419998,102.18,102.220001,56.137577,48800
11/18/2003,102.300003,102.349998,102.050003,102.129997,56.110157,26800
11/19/2003,101.82,102.300003,101.82,102.279999,55.846882,44900
