Asset,Correlaries,Prediction Distance,Corollary Distances,Diff,Unused Corollaries,Years Not worked,Years Up,Years Down,Year Worked,Continuous Difference,Average difference,Standard Deviation,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,10,FALSE,,,15,2,17,0.16348063755495400,0.001663344268106010,,0.0003090585133054270,0.00029076735252431300,0.003642154349032260,0.004709803499653330,0.001778280321137470,0.004544073299408420,-0.00023519444136521600,-0.00041823777972882500,0.00095797391078567,0.002889530470175260,0.0007595179136543620,0.0013549735234559300,0.0009660181740401840,0.0006091881524821210,0.0014457386345936300,0.0016703083046376600,0.003002898360010110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,"10 ,20 ,63 ,126 ,252",FALSE,,"2006 ,2007",12,3,15,0.16609514590418600,0.002599166489640530,,0.0,0.0,0.0012716996107187100,0.01298742651342690,0.009222910455325860,0.002545987474676710,-0.00016267828336413700,-0.00018562644258279800,0.0014810777144642600,0.0028961667815996500,-0.0011211518151894600,0.0013306696702606300,0.000526660781679622,0.0006710361215864770,0.0036565699668575900,0.000628894861692153,0.00323785393345577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,"10 ,20 ,63 ,126",FALSE,,,14,3,17,0.22623088760828700,0.0023785977774970600,,0.0038138000923877400,0.0008395401337566440,0.003927084967826010,0.011422615406398300,0.0016328842685908700,0.0061162789825086600,-0.0013542286017840200,-4.68595325744392E-05,0.0011650978805102200,0.0028431757307447700,0.000829345378796642,0.0012643512071886000,0.00043884529223225900,-0.00021746365578279000,0.003977013929415520,0.0003804409236534130,0.003404239813581510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,"10 ,20 ,63",FALSE,,,15,2,17,0.11462648826935600,0.001184748219800850,,0.0011170811067069400,0.0006154459951972500,0.001336469634364070,-0.002277029899508070,0.001642157896149850,0.005705805488406710,-0.0020033466134279400,0.0009679707569401060,0.000823894220162158,0.002279937299119130,0.0007235322115499710,0.0017576985024672100,0.0006490876940342670,0.00020644160976668300,0.003233406954052500,0.0012818860904049200,0.0020802807902287100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,"10 ,20",FALSE,,,15,2,17,0.14316206895362400,0.0014724774758417000,,0.0005957773631899420,-1.564932203868E-05,0.003129853521361190,0.0019958237665558300,0.001909353891052180,0.005281579440320260,-0.000272217093910454,0.00012510221099137900,0.0006970037562599170,0.0022992706711777400,0.0004968227580817160,0.0014504158056571900,0.0010264829214050600,0.0001118123740031510,0.0026649026206560000,0.0019061433653051500,0.001629639039241290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,10,FALSE,,,15,2,17,0.16348063755495400,0.001663344268106010,,0.0003090585133054270,0.00029076735252431300,0.003642154349032260,0.004709803499653330,0.001778280321137470,0.004544073299408420,-0.00023519444136521600,-0.00041823777972882500,0.00095797391078567,0.002889530470175260,0.0007595179136543620,0.0013549735234559300,0.0009660181740401840,0.0006091881524821210,0.0014457386345936300,0.0016703083046376600,0.003002898360010110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd",1,"10 ,20 ,63 ,126 ,252",FALSE,,,13,4,17,0.2136936275874200,0.0021583889413758700,,0.0016917546634489500,0.0009756902000570560,0.005263286562916300,0.007945280541785450,0.0025246859949485900,0.006970489828419970,-0.0003087046127461250,-0.0020121670904862400,0.000969807959372293,0.0025870094295097300,0.0012002856783626100,0.0008701270431372700,-2.44527522280658E-05,-0.0006096609313006600,0.0040699426797370400,0.0013878819288897200,0.0031913548795659000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd",1,"10 ,20 ,63 ,126",FALSE,,,14,3,17,0.23207793760426700,0.0023262448611767800,,0.0016628017526494300,0.0008884022888677730,0.006051781635047380,0.009022269648233160,0.0029716637768200100,0.0072903945665827600,-4.98198545018092E-06,-0.0022911536391738700,0.0007616547870872290,0.0026969518095596400,0.0012732042473251300,0.0007504195288934310,0.0004394126515843140,-0.0003864167714151550,0.003833099494528150,0.0011813673795808600,0.0034052914692851400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd",1,"10 ,20 ,63",FALSE,,,14,3,17,0.14807276077489300,0.001441832591200490,,0.0012595882869090900,0.0006248144786829000,0.004410256765708830,-0.0014263548699502400,0.001206185850290980,0.005703413593497240,-3.62963907354352E-05,0.00031378494852574200,0.00044541116693808100,0.0022274171276142100,0.0003629052975997470,0.0012616506106040100,0.0007367152249804220,-2.28527039896065E-05,0.003309514528678780,0.0019494744955235200,0.002185525639530120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd",1,"10 ,20",FALSE,,,16,1,17,0.16750370867630800,0.001723816778316140,,0.0010074492455272000,0.0003067454512131200,0.0038125974233459400,0.003679495212208340,0.0015574762318626400,0.005594730430554810,0.00022023173461160900,0.00021071980639919600,0.0005246476239475500,0.0022705062650150200,0.000421495687077833,0.0012358570012460700,0.0008886457315713250,-4.15495636940655E-06,0.0032830863086439300,0.0022491859515652000,0.0020461700829539400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd",1,10,FALSE,,,16,1,17,0.18283010240594100,0.0018676761162757600,,0.0006626880948201740,0.0006154708215853070,0.004116862272229740,0.00522877408756095,0.0015105223561104900,0.005597985292856710,0.00017931613530497400,-6.38671112676015E-05,0.0008234490088447900,0.0026932210641583700,0.000490561158383418,0.00115476373133383,0.0008610039633559770,0.0004936164277506980,0.0026115457424786800,0.0018341215964599000,0.0029404593347215300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
