Date,Close,High,Low,Open,Adj Close,Volume,yahoo finance
9/10/1987,168.970001,168.979996,167.440002,167.440002,168.970001,179800000,
9/11/1987,170.539993,170.539993,168.75,168.970001,170.539993,178000000,
9/14/1987,170.429993,170.949997,170.149994,170.529999,170.429993,154400000,
9/15/1987,169.199997,170.440002,169.130005,170.419998,169.199997,136200000,
9/16/1987,168.919998,170.029999,168.820007,169.309998,168.919998,195700000,
9/17/1987,168.820007,169.25,168.539993,168.919998,168.820007,150700000,
9/18/1987,168.75,169.039993,168.75,168.820007,168.75,188100000,
9/21/1987,167.399994,169.130005,167.360001,168.75,167.399994,170100000,
9/22/1987,167.559998,167.559998,166.690002,167.399994,167.559998,209500000,
9/23/1987,168.649994,168.649994,167.550003,167.559998,168.649994,220300000,
9/24/1987,168.720001,169.059998,168.520004,168.649994,168.720001,162200000,
9/25/1987,168.850006,168.850006,168.429993,168.720001,168.850006,138000000,
9/28/1987,169.520004,169.800003,168.839996,168.839996,169.520004,188100000,
9/29/1987,169.059998,169.690002,168.889999,169.520004,169.059998,173500000,
9/30/1987,170.809998,170.809998,168.679993,169.050003,170.809998,183100000,
10/1/1987,171.399994,171.399994,170.25,170.820007,171.399994,193200000,
10/2/1987,172.080002,172.089996,171.399994,171.399994,172.080002,189100000,
10/5/1987,172.539993,172.550003,172.089996,172.089996,172.539993,159700000,
10/6/1987,170.210007,172.619995,170.130005,172.550003,170.210007,175600000,
10/7/1987,168.869995,170.210007,168.479996,170.210007,168.869995,186300000,
10/8/1987,167.059998,168.979996,166.779999,168.869995,167.059998,198700000,
10/9/1987,166.119995,167.110001,166.009995,167.059998,166.119995,158300000,
10/12/1987,163.860001,166.110001,163.389999,166.110001,163.860001,141900000,
10/13/1987,164.139999,164.419998,163.630005,163.860001,164.139999,172900000,
10/14/1987,161.789993,164.160004,161.589996,164.149994,161.789993,207400000,
10/15/1987,159.660004,161.800003,159.600006,161.800003,159.660004,263200000,
10/16/1987,152.740005,159.660004,152.610001,159.660004,152.740005,338500000,
10/19/1987,133.600006,152.740005,133.600006,152.740005,133.600006,604300000,
10/20/1987,121.389999,133.600006,120.209999,133.600006,121.389999,608100000,
10/21/1987,130.649994,130.770004,121.389999,121.389999,130.649994,449600000,
10/22/1987,124.57,130.649994,124.470001,130.649994,124.57,392200000,
10/23/1987,121.589996,124.580002,121.360001,124.580002,121.589996,245600000,
10/26/1987,110.330002,121.580002,110.32,121.580002,110.330002,308800000,
10/27/1987,108.510002,113.120003,108.370003,110.32,108.510002,260200000,
10/28/1987,106.080002,108.5,105.459999,105.459999,106.080002,279400000,
10/29/1987,110.800003,110.800003,106.059998,106.07,110.800003,258100000,
10/30/1987,118.260002,118.260002,107.900002,110.790001,118.260002,303400000,
11/2/1987,120.209999,120.220001,118.269997,118.269997,120.209999,176000000,
11/3/1987,117.720001,122.050003,116.919998,120.199997,117.720001,227800000,
11/4/1987,117.199997,117.75,116.389999,117.730003,117.199997,202500000,
11/5/1987,118.940002,118.940002,117.18,117.190002,118.940002,226000000,
11/6/1987,119.330002,120.089996,118.940002,118.940002,119.330002,228290000,
11/9/1987,117.620003,119.32,117.260002,119.32,117.620003,160690000,
11/10/1987,115.559998,117.620003,115.25,117.620003,115.559998,184310000,
11/11/1987,116.260002,116.68,115.5,115.57,116.260002,147850000,
11/12/1987,118.349998,118.669998,116.209999,116.260002,118.349998,206280000,
11/13/1987,118.309998,118.639999,118.099998,118.349998,118.309998,174920000,
11/16/1987,118.269997,119.019997,118.010002,118.32,118.269997,164340000,
11/17/1987,116.300003,118.269997,116.040001,118.260002,116.300003,148240000,
11/18/1987,116.690002,116.690002,115.760002,116.300003,116.690002,158260000,
11/19/1987,115.110001,116.690002,115.040001,116.690002,115.110001,157140000,
11/20/1987,114.449997,115.150002,113.839996,115.110001,114.449997,189170000,
11/23/1987,114.470001,114.5,114.089996,114.449997,114.470001,143160000,
11/24/1987,115.580002,115.879997,114.290001,114.470001,115.580002,199520000,
11/25/1987,115.970001,115.970001,115.389999,115.580002,115.970001,139780000,
11/27/1987,115.610001,115.959999,115.529999,115.959999,115.610001,86360000,
11/30/1987,111.699997,115.629997,110.559998,115.599998,111.699997,268910000,
12/1/1987,111.269997,112.089996,111.129997,111.690002,111.269997,149870000,
12/2/1987,111.110001,111.300003,110.830002,111.269997,111.110001,148890000,
12/3/1987,108.940002,111.150002,108.860001,111.110001,108.940002,204160000,
12/4/1987,106.5,108.940002,106.190002,108.940002,106.5,184800000,
12/7/1987,106.43,106.519997,106.160004,106.489998,106.43,146660000,
12/8/1987,107.239998,107.239998,106.379997,106.440002,107.239998,227310000,
12/9/1987,108.889999,108.889999,107.239998,107.239998,108.889999,231430000,
12/10/1987,108.620003,109.059998,107.199997,108.889999,108.620003,188960000,
12/11/1987,109.32,109.32,108.540001,108.629997,109.32,151680000,
12/14/1987,112.07,112.07,109.099998,109.309998,112.07,187680000,
12/15/1987,114.360001,114.360001,112.07,112.07,114.360001,214970000,
12/16/1987,116.82,116.839996,113.870003,114.360001,116.82,193820000,
12/17/1987,116.940002,117.309998,116.25,116.82,116.940002,191780000,
12/18/1987,119.459999,119.459999,116.449997,116.940002,119.459999,276220000,
12/21/1987,119.919998,119.919998,119.25,119.449997,119.919998,161790000,
12/22/1987,119.309998,119.93,118.75,119.919998,119.309998,192650000,
12/23/1987,120.800003,120.82,119.309998,119.309998,120.800003,203110000,
12/24/1987,121.589996,121.589996,120.790001,120.790001,121.589996,108800000,
12/28/1987,119,121.589996,118.68,121.589996,119,131220000,
12/29/1987,118.300003,118.989998,118.019997,118.989998,118.300003,111580000,
12/30/1987,119.5,119.5,118.300003,118.309998,119.5,149230000,
12/31/1987,120.419998,120.419998,118.610001,119.5,120.419998,170140000,
1/4/1988,123.5,123.510002,120.43,120.43,123.5,181810000,
1/5/1988,126.129997,126.550003,123.5,123.5,126.129997,209520000,
1/6/1988,127,127,126.129997,126.129997,127,169730000,
1/7/1988,128.029999,128.029999,126.529999,127,128.029999,175360000,
1/8/1988,123.839996,128.190002,123.839996,128.029999,123.839996,197300000,
1/11/1988,122.519997,123.839996,121.580002,123.839996,122.519997,158980000,
1/12/1988,121.230003,122.669998,120.519997,122.510002,121.230003,165730000,
1/13/1988,121.300003,121.449997,120.489998,121.239998,121.300003,154020000,
1/14/1988,121.779999,121.980003,121.150002,121.309998,121.779999,140570000,
1/15/1988,123.669998,124.199997,121.779999,121.779999,123.669998,197940000,
1/18/1988,124.050003,124.099998,123.68,123.68,124.050003,135100000,
1/19/1988,124.440002,124.440002,123.610001,124.040001,124.440002,153550000,
1/20/1988,121.760002,124.440002,121.489998,124.440002,121.760002,181660000,
1/21/1988,121.629997,121.760002,121.120003,121.760002,121.629997,158080000,
1/22/1988,122.790001,122.790001,121.629997,121.629997,122.790001,147050000,
1/25/1988,123.68,123.68,122.779999,122.779999,123.68,275250000,
1/26/1988,123.25,123.68,123.169998,123.669998,123.25,138380000,
1/27/1988,123.370003,123.639999,123.220001,123.239998,123.370003,176360000,
1/28/1988,124.309998,124.32,123.370003,123.370003,124.309998,166430000,
