Date,Close,High,Low,Open,Adj Close,Volume
1/2/1990,359.690002,359.690002,351.980011,353.399994,359.690002,162070000
1/3/1990,358.76001,360.589996,357.890015,359.690002,358.76001,192330000
1/4/1990,355.670013,358.76001,352.890015,358.76001,355.670013,177000000
1/5/1990,352.200012,355.670013,351.350006,355.670013,352.200012,158530000
1/8/1990,353.790009,354.23999,350.540009,352.200012,353.790009,140110000
1/9/1990,349.619995,354.170013,349.609985,353.829987,349.619995,155210000
1/10/1990,347.309998,349.619995,344.320007,349.619995,347.309998,175990000
1/11/1990,348.529999,350.140015,347.309998,347.309998,348.529999,154390000
1/12/1990,339.929993,348.529999,339.48999,348.529999,339.929993,183880000
1/15/1990,337,339.940002,336.570007,339.929993,337,140590000
1/16/1990,340.75,340.75,333.369995,337,340.75,186070000
1/17/1990,337.399994,342.01001,336.26001,340.769989,337.399994,170470000
1/18/1990,338.190002,338.380005,333.980011,337.399994,338.190002,178590000
1/19/1990,339.149994,340.480011,338.190002,338.190002,339.149994,185590000
1/22/1990,330.380005,339.959991,330.279999,339.140015,330.380005,148380000
1/23/1990,331.609985,332.76001,328.670013,330.380005,331.609985,179300000
1/24/1990,330.26001,331.709991,324.170013,331.609985,330.26001,207830000
1/25/1990,326.079987,332.329987,325.329987,330.26001,326.079987,172270000
1/26/1990,325.799988,328.579987,321.440002,326.089996,325.799988,198190000
1/29/1990,325.200012,327.309998,321.790009,325.799988,325.200012,150770000
1/30/1990,322.980011,325.730011,319.829987,325.200012,322.980011,186030000
1/31/1990,329.079987,329.079987,322.980011,322.980011,329.079987,189660000
2/1/1990,328.790009,329.859985,327.76001,329.079987,328.790009,154580000
2/2/1990,330.920013,332.100006,328.089996,328.790009,330.920013,164400000
2/5/1990,331.850006,332.160004,330.450012,330.920013,331.850006,130950000
2/6/1990,329.660004,331.859985,328.200012,331.850006,329.660004,134070000
2/7/1990,333.75,333.76001,326.549988,329.660004,333.75,186710000
2/8/1990,332.959991,336.089996,332,333.75,332.959991,176240000
2/9/1990,333.619995,334.600006,332.410004,333.019989,333.619995,146910000
2/12/1990,330.079987,333.619995,329.970001,333.619995,330.079987,118390000
2/13/1990,331.019989,331.609985,327.920013,330.079987,331.019989,144490000
2/14/1990,332.01001,333.200012,330.640015,331.019989,332.01001,138530000
2/15/1990,334.890015,335.209991,331.609985,332.01001,334.890015,174620000
2/16/1990,332.720001,335.640015,332.420013,334.890015,332.720001,166840000
2/20/1990,327.98999,332.720001,326.26001,332.720001,327.98999,147300000
2/21/1990,327.670013,328.170013,324.470001,327.910004,327.670013,159240000
2/22/1990,325.700012,330.980011,325.700012,327.670013,325.700012,184320000
2/23/1990,324.149994,326.149994,322.100006,325.700012,324.149994,148490000
2/26/1990,328.670013,328.670013,323.980011,324.160004,328.670013,148900000
2/27/1990,330.26001,331.940002,328.470001,328.679993,330.26001,152590000
2/28/1990,331.890015,333.480011,330.160004,330.26001,331.890015,184400000
3/1/1990,332.73999,334.399994,331.079987,331.890015,332.73999,157930000
