Date,Value
2000-06-20 00:00:00,35.179688
2000-06-21 00:00:00,35.351563
2000-06-22 00:00:00,35.367188
2000-06-23 00:00:00,35.367188
2000-06-26 00:00:00,34.875
2000-06-27 00:00:00,35.375
2000-06-28 00:00:00,35.375
2000-06-29 00:00:00,35.375
2000-06-30 00:00:00,35.375
2000-07-03 00:00:00,35.578125
2000-07-05 00:00:00,35.90625
2000-07-06 00:00:00,36.015625
2000-07-07 00:00:00,36.28125
2000-07-10 00:00:00,36.25
2000-07-11 00:00:00,36.234375
2000-07-12 00:00:00,36.0625
2000-07-13 00:00:00,36.03125
2000-07-14 00:00:00,35.953125
2000-07-17 00:00:00,36.109375
2000-07-18 00:00:00,36.21875
2000-07-19 00:00:00,36.41125
2000-07-20 00:00:00,36.458125
2000-07-21 00:00:00,36.97375
2000-07-24 00:00:00,37.270625
2000-07-25 00:00:00,37.255
2000-07-26 00:00:00,37.778438
2000-07-27 00:00:00,38.1925
2000-07-28 00:00:00,38.184688
2000-07-31 00:00:00,37.92255004887806
2000-08-01 00:00:00,38.72485000320983
2000-08-02 00:00:00,38.79634152465866
2000-08-03 00:00:00,38.51037340531228
2000-08-04 00:00:00,37.90666293113659
2000-08-07 00:00:00,37.90666293113659
2000-08-08 00:00:00,37.97021140210245
2000-08-09 00:00:00,38.001985637585385
2000-08-10 00:00:00,38.192631050482966
2000-08-11 00:00:00,38.25617952144883
2000-08-14 00:00:00,38.351502227897626
2000-08-15 00:00:00,38.12908257951711
2000-08-16 00:00:00,38.25617952144883
2000-08-17 00:00:00,38.31178494193173
2000-08-18 00:00:00,37.97021140210245
2000-08-21 00:00:00,37.82722734242926
2000-08-22 00:00:00,37.93843716661952
2000-08-23 00:00:00,37.52537210534142
2000-08-24 00:00:00,37.263235170995
2000-08-25 00:00:00,37.20762975051211
2000-08-28 00:00:00,37.263235170995
2000-08-29 00:00:00,36.92166163116573
2000-08-30 00:00:00,37.112307044063314
2000-08-31 00:00:00,37.3506138101853
2000-09-01 00:00:00,37.128194161804785
2000-09-05 00:00:00,37.366500927926765
2000-09-06 00:00:00,37.66041311453164
2000-09-07 00:00:00,37.62069481179021
2000-09-08 00:00:00,38.335615110156155
2000-09-11 00:00:00,38.55803475853667
2000-09-12 00:00:00,38.732793053692795
2000-09-13 00:00:00,38.637470347244005
2000-09-14 00:00:00,38.57392187627814
2000-09-15 00:00:00,38.60569611176107
2000-09-18 00:00:00,38.08142122629271
2000-09-19 00:00:00,38.200575117741465
2000-09-20 00:00:00,38.12908257951711
2000-09-21 00:00:00,38.097308344034175
2000-09-22 00:00:00,38.097308344034175
2000-09-25 00:00:00,38.052823397582536
2000-09-26 00:00:00,38.20534176145168
2000-09-27 00:00:00,38.434114223377705
2000-09-28 00:00:00,38.58663258724685
2000-09-29 00:00:00,38.51037340531228
2000-10-02 00:00:00,38.15450400145453
2000-10-03 00:00:00,37.67153257178737
2000-10-04 00:00:00,37.13772846600073
2000-10-05 00:00:00,37.315663167929614
2000-10-06 00:00:00,37.23940398599504
2000-10-09 00:00:00,37.21398256405762
2000-10-10 00:00:00,37.23940398599504
2000-10-11 00:00:00,36.95978868019418
2000-10-12 00:00:00,36.37514681441039
2000-10-13 00:00:00,36.451400912467285
2000-10-16 00:00:00,36.90895092019702
2000-10-17 00:00:00,36.40056315247013
2000-10-18 00:00:00,36.68507844281151
2000-10-19 00:00:00,36.964693748612376
2000-10-20 00:00:00,36.83759680668065
2000-10-23 00:00:00,36.55798150087979
2000-10-24 00:00:00,36.25294985701919
2000-10-25 00:00:00,36.125852915087464
2000-10-26 00:00:00,36.22752843508177
2000-10-27 00:00:00,36.659662104751774
2000-10-30 00:00:00,36.84217715009002
2000-10-31 00:00:00,36.79003073924272
2000-11-01 00:00:00,36.94646997178462
2000-11-02 00:00:00,37.076838606275565
2000-11-03 00:00:00,36.972545784580966
2000-11-06 00:00:00,37.076838606275565
2000-11-07 00:00:00,37.12898501712287
2000-11-08 00:00:00,37.28542946441016
2000-11-09 00:00:00,36.99861638263192
2000-11-10 00:00:00,36.711808515599074
2000-11-13 00:00:00,36.73787911365004
2000-11-14 00:00:00,37.10291441907191
2000-11-15 00:00:00,37.18113664271555
2000-11-16 00:00:00,37.28542946441016
2000-11-17 00:00:00,37.11855761226175
2000-11-20 00:00:00,37.076838606275565
2000-11-21 00:00:00,37.12898501712287
2000-11-22 00:00:00,36.972545784580966
2000-11-24 00:00:00,36.972545784580966
2000-11-27 00:00:00,37.024692195428266
2000-11-28 00:00:00,37.155060829919215
2000-11-29 00:00:00,37.207207240766515
2000-11-30 00:00:00,37.54616673339204
2000-12-01 00:00:00,37.572242546188384
2000-12-04 00:00:00,37.702611180679334
2000-12-05 00:00:00,37.702611180679334
2000-12-06 00:00:00,38.484822987625
2000-12-07 00:00:00,38.32837854033771
2000-12-08 00:00:00,38.69340863101421
2000-12-11 00:00:00,38.980221712792435
2000-12-12 00:00:00,39.162736758130684
2000-12-13 00:00:00,39.11059034728338
2000-12-14 00:00:00,38.90199948914879
2000-12-15 00:00:00,39.08451453448704
2000-12-18 00:00:00,39.7624335197381
2000-12-19 00:00:00,39.788509332534446
2000-12-20 00:00:00,39.86022171279244
2000-12-21 00:00:00,39.964514534487044
2000-12-22 00:00:00,39.80807530194514
2000-12-26 00:00:00,39.781999489148795
2000-12-27 00:00:00,40.25132761626527
2000-12-28 00:00:00,40.824948565076355
2000-12-29 00:00:00,40.48598907245082
2001-01-02 00:00:00,40.139503616293844
2001-01-03 00:00:00,40.6192543496223
